Cikkszám;Kategória;Gyártó;Név;Ár;Garidõ
727;Nyomtató;Epson;Epson FX-890 mátrix nyomtató;98850;12
2272;Memória;Kingmax;Kingmax 1GB DDR 400Mhz;5990;36
2646;Nyomtató;Epson;Epson FX-2190 mátrix nyomtató A3;122890;12
3133;Memória;Kingmax;Kingmax 1GB DDR2 800Mhz Mars;3860;36
4145;Memória;A-Data;A-Data 1GB DDR 400MHz;6260;-1
4878;Memória;Samsung;Samsung 1GB DDR 400Mhz;2390;36
4939;Memória;Kingmax;Kingmax 2GB DDR2 800Mhz Mars;6350;36
5083;Processzor;Coolink;Coolink Processzor hûtõzsír 10g;320;0
5322;Processzor;Xilence;Xilence Processzor hûtõzsír ezüst 1.5g Silver Tim;520;0
5505;Memória;Kingmax;Kingmax 1GB DDR3 1333Mhz;2090;36
5506;Memória;Kingmax;Kingmax 2GB DDR3 1333Mhz;2870;36
5751;Memória;Kingmax;Kingmax 2GB DDR3 1600Mhz;2790;36
5752;Memória;Samsung;Samsung 2GB DDR2 800Mhz 3 év garancia;4980;36
6434;Nyomtató;HP;HP LaserJet P2035 (CE461A) lézernyomtató;39800;12
9036;Videokártya;Matrox;Matrox M9120  Matrox,512MB,DDR2,PCIE,2xDVI,Passzív hûtés;62830;36
9165;Memória;Kingston;Kingston 2GB DDR2 667MHz;6750;-1
9249;Memória;Kingston;Kingston 1GB DDR2 800MHz;3520;-1
9258;Memória;Kingston;Kingston 2GB DDR2 800MHz;6990;-1
10136;Memória;Kingston;Kingston 1GB DDR2 667MHz;3590;-1
11246;Videokártya;Sapphire;Sapphire HD5450  512MB DDR3 PCI-E VGA /DVI-I /HDMI Lite LP  ATI,512MB,DDR3,PCIE,VGA,1xDVI,1xHDMI,LP,GPU:650MHz,RAM:1600MHz,64bit,Passzív hûtés;6980;24
11897;Memória;Corsair;Corsair 1GB DDR2 800MHz XMS2;5160;-1
12111;Videokártya;Asus;Asus EAH5450 SILENT/DI/1GD3(LP) ATI,1GB,DDR3,PCIE,VGA,1xDVI,1xHDMI,LP,GPU:650MHz,RAM:800MHz,64bit,Passzív hûtés;7710;36
12363;Videokártya;Sapphire;Sapphire HD5450 1GB DDR3 ATI,PCIE,GPU:650MHz,RAM:1600MHz,1GB,DDR3,64bit,Passzív hûtés,VGA,1xDVI,1xHDMI,LP;7550;24
13026;Nyomtató;HP;HP Color LaserJet Professional CP5225dn (CE712A) wireless színes lézernyomtató;350790;12
13028;Nyomtató;HP;HP LaserJet Pro P1102 (CE651A) lézernyomtató;19400;12
13072;Nyomtató;HP;HP Color LaserJet Enterprise CP4025dn (CC490A) színes lézernyomtató;243400;12
13073;Nyomtató;HP;HP Color LaserJet Enterprise CP4025n (CC489A) színes lézernyomtató;217820;12
13081;Nyomtató;HP;HP LaserJet Enterprise P3015d (CE526A) lézernyomtató;81500;12
13142;Nyomtató;HP;HP Color LaserJet Professional CP5225n (CE711A) színes lézernyomtató;309290;12
13384;Nyomtató;HP;HP LaserJet Enterprise P3015x (CE529A) lézernyomtató;128900;12
13887;Nyomtató;Epson;Epson B310N Business Inkjet;107320;12
14083;Nyomtató;Brother;Brother QL-1050  Cimkenyomtató;51400;24
14132;Processzor;Coolink;Coolink Processzor hûtõzsír 4g;200;0
14301;Videokártya;Matrox;Matrox Parhelia PH-E128APV 128M Matrox,128MB,DDR,PCIE,2xDVI,256bit,Aktív hûtés;33680;36
15558;Nyomtató;HP;HP LaserJet Enterprise P3015dn (CE528A) lézernyomtató;97900;12
15694;Videokártya;Matrox;Matrox G550 32MB DDR PCI-ex (x1) BOX Matrox,32MB,DDR,PCIE,2xDVI,64bit,Passzív hûtés,D-sub adapter;35130;12
15767;Memória;Corsair;Corsair 2GB DDR2 800MHz XMS2;8700;-1
15776;Memória;Corsair;Corsair 4GB DDR3 1333MHz Kit (2x2GB) XMS3;8870;-1
15786;Memória;Kingmax;Kingmax 4GB DDR3 1333MHz;4570;36
15900;Memória;CSX;CSX 1GB DDR 400MHz Standard;2750;-1
